R_2ydWfJJOOmY0tFf,Default Response Set,Anonymous,,,70.115.255.37,0,09/04/2019 02:59,09/04/2019 03:02,1,1,1,,,,,First,First,,,,,,,,,,,The first one sounded more soft than the second which sounded harsh.,Yes,No,20,male,right-handed,English,None,Yes,No,No,Occasionally,Never,1,32.75369263,-96.83670044,-1
R_24nRsOyHF2NG8BL,Default Response Set,Anonymous,,,68.231.28.144,0,09/04/2019 03:16,09/04/2019 03:18,1,1,1,,,,,,,,,,,First,Second,,,,,I suppose the higher sounds were sweeter?,Yes,Yes,38,female,right-handed,english,None,Yes,No,Maybe,Rarely,Never,1,33.19110107,-111.5279999,-1
R_2EbpJdVjPvoQzkI,Default Response Set,Anonymous,,,67.189.171.219,0,09/04/2019 03:19,09/04/2019 03:20,1,1,1,,,Second,Second,,,,,,,,,,,,,I have no idea what made me feel that one sound was sweeter than the other. The only thing I noticed is that the pitches seemed different.,Yes,No,22,female,right-handed,English,None,No,No,No,Never,Never,1,42.45669556,-71.37470245,-1
R_2DP2XLbMSfmF9F6,Default Response Set,Anonymous,,,206.74.105.224,0,09/04/2019 03:19,09/04/2019 03:21,1,1,1,Second,Second,,,,,,,,,,,,,,,"The second one in both instances maybe sounded ""sexier"" somehow? ",Yes,No,54,female,right-handed,english,None,Yes,No,No,Never,Never,1,34.33039856,-82.33670044,-1
R_2EiyuisrLcJuUGr,Default Response Set,Anonymous,,,73.112.75.54,0,09/04/2019 03:31,09/04/2019 03:33,1,1,1,,,,,,,,,,,First,Second,,,,,Just a gut feeling. ,Yes,No,34,male,left-handed,English,None,Yes,Maybe,No,Rarely,Never,1,40.73399353,-74.07119751,-1
R_cupwdwd6FNFJHXz,Default Response Set,Anonymous,,,49.207.185.195,0,09/04/2019 03:31,09/04/2019 03:37,1,1,1,,,,,,,,,First,First,,,,,,,IT'S VERY PLEASANT,Yes,Yes,28,male,right-handed,ENGLISH,None,Yes,Yes,Maybe,Rarely,Short visit(s),1,13.08430481,80.28048706,-1
R_1pQlhjyUDkRUK5P,Default Response Set,Anonymous,,,49.207.186.194,0,09/04/2019 03:52,09/04/2019 03:59,1,1,1,,,,,,,,,First,Second,,,,,,,NICE TRY,Yes,Yes,50,male,right-handed,ENGLISH,Advanced,Maybe,Yes,Yes,Regularly,Lived 0-5 years,1,13.08430481,80.28048706,-1
R_1EgsoJAK1pnYuju,Default Response Set,Anonymous,,,45.59.23.192,0,09/04/2019 03:12,09/04/2019 03:19,0,1,1,,,,,,,,,,,,,First,,,,,,,,,,,,,,,,,,,,-1
R_w6r0QqGjAifucAV,Default Response Set,Anonymous,,,65.220.84.101,0,09/04/2019 03:34,09/04/2019 03:36,0,1,1,,,First,First,,,,,,,,,,,,,make clear the voice,Yes,No,29,male,right-handed,english,None,Maybe,Maybe,Maybe,Rarely,Short visit(s),,,,-1
R_SBNiM7NKySuVLwd,Default Response Set,Anonymous,,,50.89.133.108,0,09/04/2019 02:59,09/04/2019 03:02,0,1,1,,,,,,,,,,,,,,,First,First,I chose whichever sound was softer of the two. ,Yes,Yes,21,male,right-handed,English,None,Maybe,No,No,Never,Never,,,,-1
R_20MzuyK6WLIAEvj,Default Response Set,Anonymous,,,146.71.76.240,0,09/04/2019 03:02,09/04/2019 03:10,0,1,1,,,,,,,First,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_8B0BCps3BCEEGmB,Default Response Set,Anonymous,,,76.214.149.168,0,09/04/2019 05:16,09/04/2019 05:17,1,1,1,,,,,,,,,,,,,,,Second,First,"I think the softness, or how harsh the sound was affected my judgement.",Yes,No,29,male,right-handed,English,None,Yes,Yes,No,Regularly,Never,1,36.84199524,-119.6577988,-1
R_3HokKE65hDmWOyh,Default Response Set,Anonymous,,,196.16.108.117,0,09/04/2019 05:16,09/04/2019 05:18,1,1,1,,,,,,,,,,,,,Second,Second,,,Good,Yes,Yes,49,male,right-handed,English,Advanced,Maybe,Maybe,No,Regularly,Short visit(s),1,34.05439758,-118.2440033,-1
R_30dw9njtSY4t5Oi,Default Response Set,Anonymous,,,49.207.186.194,0,09/04/2019 05:16,09/04/2019 05:19,1,1,1,,,,,,,Second,First,,,,,,,,,NICE,Yes,Yes,44,female,right-handed,ENGLISH,Native-like,Maybe,Yes,Yes,Occasionally,Short visit(s),1,13.08430481,80.28048706,-1
R_2vjMuKb7GXHPjYy,Default Response Set,Anonymous,,,45.59.17.228,0,09/04/2019 05:24,09/04/2019 05:30,1,1,1,,,Second,First,,,,,,,,,,,,,NA,Yes,Yes,28,female,right-handed,ENGLISH,None,No,No,No,Never,Never,1,40.74279785,-73.97119904,-1
R_2bJlqmJKk7ko5Ql,Default Response Set,Anonymous,,,68.99.236.163,0,09/04/2019 06:56,09/04/2019 06:57,1,1,1,,,,,,,,,,,,,,,Second,First,i just went with my gut feeling on which one sounded sweeter,Yes,No,29,male,right-handed,English,None,Yes,Yes,No,Never,Lived 0-5 years,1,33.35040283,-111.7819977,-1
R_2X5TpAKvQexRSah,Default Response Set,Anonymous,,,47.184.146.229,0,09/04/2019 06:56,09/04/2019 06:58,1,1,1,,,,,,,Second,Second,,,,,,,,,Softer? Not volume but sound... maybe? Not entirely sure.,Yes,No,40,male,right-handed,English,None,Yes,Maybe,No,Never,Never,1,32.92190552,-96.62139893,-1
R_cLRyN4jlmJ6UMHT,Default Response Set,Anonymous,,,99.191.42.108,0,09/04/2019 06:56,09/04/2019 06:59,1,1,1,,,,,,,,,Second,First,,,,,,,"For me, I chose the sound that was more pleasant to my ears as the ""sweeter"" sound. I didn't notice much else.",Yes,No,34,female,right-handed,English,None,No,No,No,Rarely,Never,1,40.21159363,-85.4272995,-1
R_22kPg5JOOIWN2ey,Default Response Set,Anonymous,,,73.142.240.25,0,09/04/2019 06:57,09/04/2019 06:59,1,1,1,,,,,First,First,,,,,,,,,,,if it was louder it wasless sweet,Yes,No,22,female,right-handed,english,None,Yes,No,No,Occasionally,Never,1,42.31199646,-71.10810089,-1
R_1LtljGtJRpBNdm1,Default Response Set,Anonymous,,,73.195.111.51,0,09/04/2019 07:48,09/04/2019 07:50,1,1,1,,,,,,,First,First,,,,,,,,,the higher pitched sound is what I thought sounded sweeter.,Yes,No,29,female,right-handed,english,None,Maybe,No,Yes,Never,Never,1,40.8565979,-74.83889771,-1
