V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Este estudio investiga la relación entre el lenguaje y la percepción. Vas a escuchar unos archivo...,En la siguiente pantalla encontrarás dos archivos de audio.   Escucha ambos audios y responde a l...,"Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:    Cuál suena más 'blando', el primero o el segundo? ","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'blando', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:   Cuál suena más 'duro', el primero o el segundo?","Primero:   Segundo:    Cuál suena más 'duro', el primero o el segundo? ",¿Tienes algún tipo de idea sobre lo que puede haber influido tus respuestas? ¿Qué te hizo selecci...,¿Has podido escuchar ambos audios?,¿Has escuchado los audios varias veces?,¿Cuál es tu edad?,¿Cuál es tu género?,¿Eres diestro/a o zurdo/a?,Cuál es tu lengua materna o lenguas maternas? Tu lengua materna es la que se hablabas en casa cua...,"¿Hablas coreano? De ser así, ¿cuál es tu nivel? Si no hablas coreano, seleccciona “ninguno”.",¿Has comido alguna vez en un restaurante coreano?,"¿Has probado alguna vez Soju, el licor coreano?",¿Tienes algún amigo/a coreano/a?,"¿Con qué frecuencia ves o escuchas música pop, teatro, películas o programas de televisión de Cor...",¿Alguna vez has visitado o vivido en Corea?,Muchas gracias por tu participación!!! Please follow this link to receive a code that you can ent...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1QDzfYFGTH7kI40,Default Response Set,Anonymous,,,85.152.169.96,0,2019-05-01 08:00:41,2019-05-01 08:02:42,1,1,1,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,,,,,,,,,"Me parecían más graves, más sonoros",Sí,Sí,36,masculino,diestro/a,Español,Ninguno,No,No,No,Muy pocas veces,Nunca,1,43.535705566406,-5.6614990234375,-1,
R_3LkfHXDRCbYVpcS,Default Response Set,Anonymous,,,83.97.179.29,0,2019-05-01 10:35:48,2019-05-01 11:19:23,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primero,Primero,,,Me pareció más duro el que al principio sonaba más fuerte.,Sí,No,21,masculino,diestro/a,Castellano,Ninguno,No,No,No,Nunca,Nunca,1,43.554702758789,-5.9248046875,-1,
R_2wdceVuhdfAHg9u,Default Response Set,Anonymous,,,77.227.211.74,0,2019-05-01 12:55:31,2019-05-01 12:58:27,1,1,1,,,,,,,,,,,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,los que he elegido me parecen mas estridentes ,Sí,No,40,masculino,diestro/a,esp,Ninguno,No,No,No,Nunca,Nunca,1,40.414306640625,-3.7015991210938,-1,
R_12rI5O8l3A9ZtQO,Default Response Set,Anonymous,,,81.41.148.58,0,2019-05-02 06:35:47,2019-05-02 06:38:06,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primero,Segundo,,,"La gravedad de la voz hace que suene mas profundo, y a mi parecer eso me indicaba cual era más 'duro'",Sí,Sí,23,masculino,diestro/a,Español,Ninguno,Sí,No,No,Nunca,Nunca,,,,-1,
R_1jd0qBn8zdVrdmc,Default Response Set,Anonymous,,,85.91.86.243,0,2019-05-02 04:26:13,2019-05-02 04:33:02,0,1,1,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,,,,,"Los sonidos en que se prolongaba más el sonido (el sonido fuerte era al principio del audio pero después se prolongaba en bajo, como una continuación en bajo del sonido) me resultaban más inquietantes, por lo que los seleccioné como más duros. / Realmente no sé el propósito del experimento, aunque imagino que saber que tipo de sonidos son más agradables o nos resultan más inquietantes puede ser interesante para muchas aplicaciones.",Sí,Sí,39,femenino,diestro/a,Español y gallego,Ninguno,Quizás,No,No,Muy pocas veces,Nunca,,,,-1,
R_3Mzf56V73QW9F3E,Default Response Set,Anonymous,,,81.61.204.187,0,2019-05-02 01:27:14,2019-05-02 01:28:58,0,1,1,,,,,,,,,,,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,"Es el tipo de sonido, los más duros son mas repentinos y suenan un poco más alto, es difícil de poner en palabras",Sí,Sí,25,femenino,diestro/a,Español,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_2PAaIBqTRtlj6MD,Default Response Set,Anonymous,,,95.120.152.12,0,2019-05-01 15:51:14,2019-05-01 15:54:27,0,1,1,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,,,,,"Parecen sonidos de un golpe, seleccioné el que me pareció más duro. / Creo que es la misma grabación de una persona pero desplazada en frecuencia. A frecuencias más altas me pareció más agresivo, más 'duro'.",Sí,No,47,masculino,diestro/a,Español,Ninguno,No,No,No,Muy pocas veces,Nunca,,,,-1,
R_cH2vTE6Jyi6tSud,Default Response Set,Anonymous,,,80.30.129.37,0,2019-05-01 14:30:48,2019-05-01 14:33:42,0,1,1,,,,,Primero,Primero,,,,,,,,,,,,,,,,,,,,,,,,,,,uno es más seco mientras que el otro es más largo,Sí,No,39,masculino,diestro/a,"Catalán, Español, Inglés",Ninguno,Sí,No,No,Muy pocas veces,Nunca,,,,-1,
R_3dJQLPMZYaaPcmk,Default Response Set,Anonymous,,,93.176.137.123,0,2019-05-01 12:17:01,2019-05-01 12:19:12,0,1,1,,,Segundo,Segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la sensación de que se propaga en mayor tiempo el sonido,Sí,No,38,femenino,diestro/a,castellano,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
