V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,知情同意书   本研究调查的是语言与感知。 我们不会从您那里收集任何个人信息或任何可用于识别您身份的信息。根据开放的科学实践，您的数据可能与学术研究机构共享，但只会以保密的方式（完全匿名)。 您...,在下一页上，我们将向您提供两个音频文件。  请听完两个文件并回答一个问题。 我们希望每个音频您只听一次， 但若需要，您也可以重听几次。...,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个? ,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更柔和”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个?,第一个:   第二个:   哪一个听起来“更强硬”，第一个还是第二个? ,您认为有哪些因素影响了您的判断? 欢迎和我们分享您对本实验或刚才听到的音频的想法:...,这些音频文件你都能听清楚吗？,刚才的音频您听了不只一次吗？,你的年龄是？,你的性别是？,你是左撇子还是右撇子？,你的母语是什么？ 若有多种母语，请均在下面列出：,你会说韩语吗？你如何评价你的韩语熟练程度？如果你从未说过或学过韩语，请单击“无”。...,你在韩国料理餐厅吃过饭吗？, 你曾经尝过韩国烧酒Soju吗？ ,你的朋友圈子里有人是韩国人吗？,你多久看或听一次韩国流行音乐、戏剧、电影和/或电视节目？,您曾去过或在韩国生活过吗?,非常感谢您的参与！！！,LocationLatitude,LocationLongitude,LocationAccuracy,
R_510jDI4kWjZIYAF,Default Response Set,Anonymous,,,39.190.233.251,0,2019-04-27 01:42:55,2019-04-27 01:47:15,1,1,1,,,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,没想法,是,是,18,其他,左右手都用,汉语,无,是,不确定,是,很少,从未去过,1,29.878204345703,121.54949951172,-1,
R_3OeshXOH3ykjSOa,Default Response Set,Anonymous,,,117.139.178.177,0,2019-04-29 01:39:47,2019-04-29 01:41:45,1,1,1,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,直觉或感觉,是,是,33,男,右撇子,汉语,无,是,是,否,很少,从未去过,1,31.215896606445,107.50088500977,-1,
R_1FkUKoA4ChSrItO,Default Response Set,Anonymous,,,220.160.164.232,0,2019-04-29 02:04:46,2019-04-29 02:07:38,1,1,1,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,声音的强度和锐度,是,否,30,男,左右手都用,汉语,无,是,是,否,很少,从未去过,1,24.479797363281,118.08190917969,-1,
R_3soGyYbGHypsqqS,Default Response Set,Anonymous,,,192.76.8.91,0,2019-04-29 02:05:01,2019-04-29 02:08:44,1,1,1,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,觉得和元音的开口大小有关，开口小听起来更柔和,是,是,23,男,右撇子,普通话、吴语,无,是,否,否,从不,从未去过,1,51.715805053711,-1.2924957275391,-1,
R_1iqTqymuSJ0cj3E,Default Response Set,Anonymous,,,82.35.235.145,0,2019-04-29 02:11:15,2019-04-29 02:15:21,1,1,1,,,,,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,sound volume,是,是,32,女,左右手都用,Chinese ,无,是,否,是,从不,从未去过,1,52.416702270508,-2,-1,
R_2691xQZmCMnD8HP,Default Response Set,Anonymous,,,140.243.253.35,0,2019-04-29 02:23:31,2019-04-29 02:26:50,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,声音长短，短的听起来更铿锵有力所以觉得硬,是,否,30,女,右撇子,中文,无,是,否,否,偶尔,从未去过,1,26.061401367188,119.30609130859,-1,
R_2wAbpXukBr1SBK9,Default Response Set,Anonymous,,,220.160.165.120,0,2019-04-29 03:10:03,2019-04-29 03:13:48,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第一个:,,,更尖锐，更短促的声音让人感觉更强硬,是,是,28,女,右撇子,方言,无,是,否,否,偶尔,从未去过,1,24.479797363281,118.08190917969,-1,
R_2VR1SR2NyhXstQR,Default Response Set,Anonymous,,,117.139.178.177,0,2019-04-29 04:07:04,2019-04-29 04:09:11,1,1,1,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,刺耳程度,是,是,30,女,右撇子,中文,无,是,是,否,偶尔,从未去过,1,31.215896606445,107.50088500977,-1,
R_1eEhY9Y10oSNnBK,Default Response Set,Anonymous,,,147.188.254.209,0,2019-04-29 06:27:03,2019-04-29 06:28:47,1,1,1,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无,否,否,23,女,右撇子,中文,初级,是,是,是,经常,短期访问（一次或多次）,1,52.466598510742,-1.9205017089844,-1,
R_uqQngnnKkO8tmzT,Default Response Set,Anonymous,,,92.239.143.159,0,2019-04-29 06:29:03,2019-04-29 06:32:13,1,1,1,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,声调，扬的声调比抑的声调听起来柔和,是,是,24,女,左右手都用,汉语,无,是,否,否,从不,短期访问（一次或多次）,1,52.439300537109,-1.9402008056641,-1,
R_3no2TxVJJE70q0v,Default Response Set,Anonymous,,,82.38.246.6,0,2019-04-29 06:29:07,2019-04-29 06:32:30,1,1,1,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,声音本身没有任何意义，但是声音所带来的生活习惯和内心记忆会吧声音进行分类处理。,否,是,25,男,左右手都用,中文,无,是,否,否,从不,从未去过,1,52.45849609375,-1.9573059082031,-1,
R_1BVE5TExaVpEBuy,Default Response Set,Anonymous,,,146.90.157.207,0,2019-04-29 12:02:22,2019-04-29 12:05:12,1,1,1,,,,,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,consonant 的力度，开口程度,是,是,27,男,右撇子,汉语普通话,初级,是,是,不确定,偶尔,从未去过,1,52.481399536133,-1.8997955322266,-1,
R_1eshhjidBuWNB22,Default Response Set,Anonymous,,,77.98.129.230,0,2019-04-29 16:18:24,2019-04-29 16:21:52,1,1,1,,,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,元音 / 播放顺序,是,是,34,女,右撇子,英语,无,是,是,否,经常,短期访问（一次或多次）,1,52.45849609375,-1.9573059082031,-1,
R_1rCFn4XluyoAFQg,Default Response Set,Anonymous,,,77.97.244.246,0,2019-04-29 16:23:04,2019-04-29 16:25:17,1,1,1,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,声音的高低和响度,是,是,28,女,左右手都用,中文,无,是,是,是,偶尔,从未去过,1,52.45849609375,-1.9573059082031,-1,
R_2TuRCEgZDLixOJS,Default Response Set,Anonymous,,,46.102.213.90,0,2019-04-30 14:57:52,2019-04-30 14:59:53,1,1,1,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keng或者是eng的声音更柔和  而ka的声音感觉是比较尖锐的,是,是,27,女,右撇子,汉语,无,是,否,否,很少,从未去过,1,52.439300537109,-1.9402008056641,-1,
